role,allowConditions,domain,entity,action
Master Admin,(false),journey,*,*
Master Admin,(false),gamification,scorecard,view
Master Admin,(false),gamification,scorecard,viewAll
Master Admin,(false),presence,source,add
Master Admin,(false),presence,source,view
Master Admin,(false),presence,source,edit
Master Admin,(false),presence,source,delete
Master Admin,(false),conversation,*,*
Master Admin,(false),recording,deletionProtection,apply
Master Admin,(false),recording,deletionProtection,revoke
Master Admin,(false),outbound,*,*
Master Admin,(false),messaging,integration,*
Master Admin,(false),recording,job,add
Master Admin,(false),recording,job,view
Master Admin,(false),recording,job,edit
Master Admin,(false),recording,job,delete
Master Admin,(false),voicemail,acdVoicemail,view
Master Admin,(false),voicemail,acdVoicemail,delete
Master Admin,(false),analytics,conversationAggregate,view
Master Admin,(false),analytics,dataExport,*
Master Admin,(false),analytics,journeyAggregate,view
Master Admin,(false),gdpr,*,*
Master Admin,(false),speechAndTextAnalytics,feedback,*
Master Admin,(false),analytics,viewConfigurations,*
Master Admin,(false),messaging,sms,*
Master Admin,(false),quality,*,*
Master Admin,(false),speechAndTextAnalytics,settings,*
Master Admin,(false),analytics,dashboardConfigurations,*
Master Admin,(false),messaging,lineIntegration,*
Master Admin,(false),analytics,evaluationAggregate,view
Master Admin,(false),learning,coverart,*
Master Admin,(false),presence,settings,view
Master Admin,(false),presence,settings,edit
Master Admin,(false),groups,team,*
Master Admin,(false),recording,orphanRecording,view
Master Admin,(false),recording,orphanRecording,edit
Master Admin,(false),recording,orphanRecording,delete
Master Admin,(false),gamification,leaderboard,*
Master Admin,(false),analytics,speechAndTextAnalyticsAggregates,*
Master Admin,(false),recording,annotation,add
Master Admin,(false),recording,annotation,view
Master Admin,(false),recording,annotation,edit
Master Admin,(false),recording,annotation,delete
Master Admin,(false),messaging,email,*
Performance Management Admin,(false),routing,queue,view
